geo_key,zip_code_prefix,city,state,latitude,longitude
1,01001,sao paulo,SP,-23.5501897765517638,-46.6340235559042037
2,01002,sao paulo,SP,-23.5481457317635517,-46.6349792107449788
3,01003,sao paulo,SP,-23.5489937248131581,-46.6357313099758762
4,01004,sao paulo,SP,-23.5497988422770061,-46.6347569437897066
5,01005,sao paulo,SP,-23.5494561998307462,-46.6367329480369038
6,01006,sao paulo,SP,-23.5501018114528693,-46.6361367351741811
7,01007,sao paulo,SP,-23.5500462023516626,-46.6372514596376456
8,01008,sao paulo,SP,-23.5460017493834616,-46.6358859213577848
9,01009,sao paulo,SP,-23.5468352083208657,-46.6364906953122030
10,01010,sao paulo,SP,-23.5463894383692693,-46.6352260815090511
11,01011,sao paulo,SP,-23.5469086402511089,-46.6355820263604117
12,01012,sao paulo,SP,-23.5477897331468662,-46.6348590050573565
13,01013,sao paulo,SP,-23.5471420283239024,-46.6342358000620379
14,01014,sao paulo,SP,-23.5459128056904191,-46.6336153712449440
15,01015,sao paulo,SP,-23.5476657493834788,-46.6315585707226720
16,01016,sao paulo,SP,-23.5489764070299466,-46.6323519295585547
17,01017,sao paulo,SP,-23.5495312719478589,-46.6310238455522342
18,01018,sao paulo,SP,-23.5509285179090093,-46.6324314683775398
19,01019,sao paulo,SP,-23.5517741378075848,-46.6308933827013793
20,01020,sao paulo,SP,-23.5523356515514174,-46.6300497098457327
21,01021,sao paulo,SP,-23.5430004590648052,-46.6321432338624797
22,01022,sao paulo,SP,-23.5449218261534261,-46.6319313356119442
23,01023,sao paulo,SP,-23.5423307843614568,-46.6313734043876089
24,01024,sao paulo,SP,-23.5414014327802611,-46.6299040005727706
25,01025,sao paulo,SP,-23.5402919456763261,-46.6309280594194405
26,01026,sao paulo,SP,-23.5396571272709452,-46.6318842127057993
27,01027,sao paulo,SP,-23.5380823283853366,-46.6306686750678005
28,01028,sao paulo,SP,-23.5359325411805369,-46.6335551457582534
29,01029,sao paulo,SP,-23.5413730489805339,-46.6334159884430280
30,01030,sao paulo,SP,-23.5395492917534335,-46.6330232515135324
31,01031,sao paulo,SP,-23.5419058534404508,-46.6350876169166875
32,01032,sao paulo,SP,-23.5401244545599569,-46.6351935437976888
